ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,21,C17,2,>65,1,2446,111834,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,40.88307440719542,2.862
2000,19,39,C17,1,>65,1,27087,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.691807878318013,0.258
2000,19,39,C17,2,>65,1,37217,536485,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.686944138431362,0.188
2001,19,21,C17,2,>65,1,2697,118692,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,37.07823507601038,2.595
2002,19,39,C17,1,>65,3,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,10.09013857123638,0.706
2002,19,39,C17,2,>65,2,40563,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.930601779947242,0.345
2002,19,46,C17,1,>65,1,9579,257273,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,10.439503079653408,0.731
2003,19,19,C17,1,>65,1,3490,61140,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,28.653295128939828,2.006
2003,19,39,C17,1,>65,1,30874,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.2389713027142584,0.227
2003,19,39,C17,2,>65,4,42005,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,9.52267587192001,0.667
2003,19,46,C17,2,>65,1,13152,256949,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.603406326034063,0.532
2004,19,9,C17,1,>65,1,2371,41197,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,42.17629692113032,2.952
2004,19,39,C17,1,>65,2,31919,523669,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.265860459287572,0.439
2004,19,39,C17,2,>65,2,43295,539861,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.619471070562421,0.323
2005,19,38,C17,2,>65,2,2363,28520,Nuevo Le�n,Montemorelos,25.1263054213928,-99.8083805429705,84.63817181548879,5.925
2005,19,39,C17,2,>65,3,44532,539771,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.736728644570197,0.472
2005,19,46,C17,2,>65,2,14474,254577,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,13.81788033715628,0.967
2006,19,21,C17,2,>65,1,4028,152823,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,24.826216484607745,1.738
2006,19,39,C17,1,>65,1,33910,522810,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.948982601002654,0.206
2006,19,46,C17,1,>65,1,11798,251128,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.476012883539582,0.593
2007,19,44,C17,2,>65,1,1552,17587,Nuevo Le�n,Sabinas Hidalgo,26.575102311386,-100.149288250141,64.43298969072166,4.51
2007,19,46,C17,1,>65,1,12351,248877,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.096510404015868,0.567
2008,19,26,C17,1,>65,1,17371,343603,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,5.7567209717345,0.403
2008,19,26,C17,2,>65,1,20215,331436,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.946821667078902,0.346
2008,19,39,C17,1,>65,2,35833,521846,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.581447269276923,0.391
2008,19,39,C17,2,>65,3,48266,539831,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,6.215555463473253,0.435
2008,19,46,C17,1,>65,1,12905,246736,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.748934521503292,0.542
2009,19,39,C17,2,>65,1,49563,540198,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.017634122228275,0.141
2009,19,46,C17,1,>65,1,13461,244634,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.428868583314761,0.52
2010,19,19,C17,2,>65,1,6010,69106,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,16.638935108153078,1.165
2010,19,39,C17,2,>65,1,50876,540585,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9655633304505071,0.138
2010,19,46,C17,2,>65,1,17872,246295,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,5.595344673231871,0.392
2011,19,26,C17,2,>65,1,22816,334826,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,4.38288920056101,0.307
2011,19,39,C17,1,>65,2,38702,523956,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,5.16769159216578,0.362
2011,19,39,C17,2,>65,1,52278,542076,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.9128505298595968,0.134
2011,19,46,C17,1,>65,1,14561,240855,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.86766018817389,0.481
2012,19,39,C17,1,>65,4,39785,526516,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,10.05404046751288,0.704
2013,19,17,C17,2,>65,1,2309,20998,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,43.30879168471199,3.032
2013,19,19,C17,2,>65,1,6730,69839,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,14.858841010401187,1.04
2013,19,39,C17,1,>65,2,40950,529165,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.884004884004884,0.342
2013,19,39,C17,2,>65,1,55389,547362,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.8054126270559137,0.126
2013,19,46,C17,1,>65,1,15759,238348,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,6.345580303318739,0.444
2014,19,39,C17,1,>65,1,42171,532031,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.3712978112921204,0.166
2014,19,39,C17,2,>65,1,57088,550367,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7516816143497758,0.123
2015,19,19,C17,2,>65,1,7249,70480,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,13.795006207752792,0.966
2015,19,26,C17,2,>65,1,26647,341933,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,3.752767666153789,0.263
2015,19,39,C17,2,>65,1,58814,553513,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.7002754446220287,0.119
2016,19,6,C17,1,>65,2,7395,308896,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,27.04530087897228,1.893
2016,19,6,C17,2,>65,1,9422,304216,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,10.613457864572275,0.743
2016,19,9,C17,2,>65,1,3671,48158,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,27.240533914464724,1.907
2016,19,19,C17,1,>65,1,6055,63234,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,16.515276630883566,1.156
2016,19,19,C17,2,>65,1,7535,70801,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,13.271400132714,0.929
2016,19,21,C17,1,>65,1,6060,217328,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,16.501650165016503,1.155
2016,19,39,C17,1,>65,1,44884,537787,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.227965421976651,0.156
2016,19,46,C17,1,>65,2,17714,235142,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,11.290504685559444,0.79
2016,19,46,C17,2,>65,1,22522,240681,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.440103010389841,0.311
2016,19,48,C17,1,>65,1,7036,154743,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,14.212620807276862,0.995
2017,19,6,C17,2,>65,1,9937,311512,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,10.063399416322834,0.704
2017,19,39,C17,2,>65,2,63071,559606,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.171029474718968,0.222
2018,19,6,C17,1,>65,1,8210,323338,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,12.18026796589525,0.853
2018,19,19,C17,2,>65,1,8198,71532,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,12.19809709685289,0.854
2018,19,39,C17,1,>65,1,48498,543459,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.0619406985855084,0.144
2018,19,44,C17,2,>65,1,2358,19424,Nuevo Le�n,Sabinas Hidalgo,26.575102311386,-100.149288250141,42.40882103477523,2.969
2018,19,46,C17,2,>65,1,24491,239871,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.08313257931485,0.286
2019,19,21,C17,2,>65,1,8104,228929,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,12.339585389930898,0.864
2019,19,39,C17,1,>65,2,50518,547202,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.958984916267469,0.277
2019,19,39,C17,2,>65,1,68240,567841,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.4654161781946071,0.103
2019,19,46,C17,1,>65,1,20222,233210,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.945109286915241,0.346
2019,19,48,C17,1,>65,1,8123,160236,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,12.310722639418936,0.862
2020,19,39,C17,1,>65,2,52692,551689,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,3.795642602292568,0.266
2020,19,39,C17,2,>65,3,71143,573146,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,4.21685900229116,0.295
2020,19,46,C17,1,>65,1,21142,233413,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,4.729921483303377,0.331
2020,19,46,C17,2,>65,2,26677,240750,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,7.497094875735653,0.525
2020,19,50,C17,1,>65,1,189,1053,Nuevo Le�n,Vallecillo,26.6481060108133,-99.8847627105149,529.1005291005291,37.037
2000,19,18,C17,1,45_64,1,3276,26347,Nuevo Le�n,García,25.8090105604871,-100.659776922245,30.525030525030527,5.8
2000,19,39,C17,1,45_64,1,79363,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.260033012864937,0.239
2001,19,26,C17,1,45_64,1,45873,331935,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,2.179931550149325,0.414
2001,19,39,C17,2,45_64,1,91098,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0977189400425915,0.209
2001,19,39,C17,1,45_64,1,81182,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.231800152743219,0.234
2002,19,39,C17,1,45_64,2,83071,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,2.407579058877346,0.457
2002,19,39,C17,2,45_64,1,93149,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0735488303685492,0.204
2003,19,39,C17,2,45_64,1,95160,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,1.0508617065994117,0.2
2004,19,26,C17,1,45_64,1,52034,339432,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,1.921820348233847,0.365
2004,19,38,C17,1,45_64,1,4653,28389,Nuevo Le�n,Montemorelos,25.1263054213928,-99.8083805429705,21.49151085321298,4.083
