ANIO_REGIS,ENT_OCURR,MUN_OCURR,CAUSA_DEF,SEXO_ID,RANGO_EDAD,COUNT,POBLACION_MUN,TOTAL,ENT_NAME,MUN_NAME,LAT,LON,TASA_CRUDA,TASA_AJUSTADA
2000,19,19,C71,2,>65,1,3884,68458,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,25.74665293511844,1.802
2000,19,22,C71,1,>65,1,789,8357,Nuevo Le�n,General Terán,25.275873969293,-99.4130166042144,126.74271229404307,8.872
2000,19,24,C71,1,>65,1,221,3151,Nuevo Le�n,General Zaragoza,23.901029043406,-99.7401735171412,452.4886877828055,31.674
2000,19,26,C71,2,>65,3,13326,313385,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,22.512381809995496,1.576
2000,19,30,C71,1,>65,1,150,1901,Nuevo Le�n,Iturbide,24.6384176882001,-99.848715639894,666.6666666666667,46.667
2000,19,33,C71,1,>65,1,2261,35403,Nuevo Le�n,Linares,24.8517705906785,-99.529219525043,44.22821760283061,3.096
2000,19,39,C71,1,>65,4,27087,521406,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,14.76723151327205,1.034
2000,19,39,C71,2,>65,12,37217,536485,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,32.24332966117634,2.257
2000,19,46,C71,1,>65,2,8389,257983,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,23.840743831207533,1.669
2000,19,46,C71,2,>65,3,10979,257605,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,27.324892977502508,1.913
2000,19,48,C71,1,>65,1,2955,114771,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,33.840947546531304,2.369
2000,19,48,C71,2,>65,2,3474,113208,Nuevo Le�n,Santa Catarina,25.5746103082564,-100.483863372521,57.57052389176742,4.03
2001,19,4,C71,2,>65,1,959,13673,Nuevo Le�n,Allende,25.3014341167351,-100.029518341809,104.2752867570386,7.299
2001,19,9,C71,1,>65,1,2064,38623,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,48.44961240310077,3.391
2001,19,9,C71,2,>65,1,2189,34739,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,45.682960255824575,3.198
2001,19,17,C71,1,>65,1,1726,21778,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,57.93742757821553,4.056
2001,19,26,C71,1,>65,2,12132,331935,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,16.485328058028355,1.154
2001,19,26,C71,2,>65,1,14229,317245,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,7.027900766041184,0.492
2001,19,39,C71,1,>65,7,28376,522470,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,24.66873414152805,1.727
2001,19,39,C71,2,>65,10,38848,537969,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,25.74135090609555,1.802
2001,19,46,C71,1,>65,2,8962,257826,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,22.31644722160232,1.562
2002,19,4,C71,2,>65,1,1012,13955,Nuevo Le�n,Allende,25.3014341167351,-100.029518341809,98.81422924901185,6.917
2002,19,4,C71,1,>65,1,924,14459,Nuevo Le�n,Allende,25.3014341167351,-100.029518341809,108.22510822510824,7.576
2002,19,6,C71,2,>65,1,3732,163824,Nuevo Le�n,Apodaca,25.7922757582065,-100.187331046169,26.79528403001072,1.876
2002,19,9,C71,1,>65,1,2179,39503,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,45.892611289582376,3.212
2002,19,17,C71,2,>65,2,1556,20541,Nuevo Le�n,Galeana,24.7605089754386,-100.392287229131,128.53470437017995,8.997
2002,19,21,C71,2,>65,1,2966,125519,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,33.715441672285905,2.36
2002,19,26,C71,2,>65,1,15183,320522,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,6.586313640255549,0.461
2002,19,26,C71,1,>65,1,12965,334975,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,7.7130736598534515,0.54
2002,19,39,C71,1,>65,7,29732,523410,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,23.54365666621821,1.648
2002,19,39,C71,2,>65,3,40563,539139,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,7.395902669920864,0.518
2002,19,44,C71,2,>65,1,1272,16944,Nuevo Le�n,Sabinas Hidalgo,26.575102311386,-100.149288250141,78.61635220125787,5.503
2002,19,46,C71,2,>65,1,12455,257581,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,8.028904054596547,0.562
2003,19,9,C71,1,>65,1,2279,40361,Nuevo Le�n,Cadereyta Jiménez,25.5245905417226,-99.9141854589972,43.87889425186486,3.072
2003,19,19,C71,2,>65,1,4547,68967,Nuevo Le�n,San Pedro Garza García,25.6445974826594,-100.374757698228,21.992522542335607,1.539
2003,19,21,C71,1,>65,1,2862,134571,Nuevo Le�n,General Escobedo,25.8219686500954,-100.355567771441,34.940600978336825,2.446
2003,19,26,C71,1,>65,4,13727,337464,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,29.139651781161213,2.04
2003,19,26,C71,2,>65,1,16057,323279,Nuevo Le�n,Guadalupe,25.6726512413282,-100.205777812056,6.227813414710096,0.436
2003,19,39,C71,1,>65,3,30874,523729,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,9.716913908142772,0.68
2003,19,39,C71,2,>65,5,42005,539748,Nuevo Le�n,Monterrey,25.644831944618,-100.31101511558,11.903344839900011,0.833
2003,19,46,C71,1,>65,1,10147,256291,Nuevo Le�n,San Nicolás de los Garza,25.7360564326642,-100.270691442982,9.855129594954176,0.69
